,state_fips,county_fips,naturalized,limited_english,low_ed_attain,below_poverty,median_rent,uninsured,county_name,state_name,fips
0,48,75,2.22,2.22,53.18,20.21,702.0,14.08,Childress County,Texas,48075
1,48,91,2.55,1.98,35.06,8.8,982.0,15.31,Comal County,Texas,48091
2,48,225,1.27,2.26,54.79,25.01,635.0,17.67,Houston County,Texas,48225
3,48,349,2.75,6.24,53.12,20.74,704.0,21.22,Navarro County,Texas,48349
4,48,415,2.18,3.14,49.43,9.86,716.0,15.97,Scurry County,Texas,48415
5,48,433,2.08,1.72,57.11,19.47,439.0,16.43,Stonewall County,Texas,48433
6,48,21,2.25,3.76,49.79,14.32,917.0,19.64,Bastrop County,Texas,48021
7,48,25,1.43,4.39,60.51,21.22,802.0,22.54,Bee County,Texas,48025
8,48,103,7.64,12.32,58.16,13.11,650.0,18.46,Crane County,Texas,48103
9,50,21,1.45,0.68,43.53,12.47,785.0,6.35,Rutland County,Vermont,50021
10,50,17,1.41,0.3,43.43,12.38,836.0,6.08,Orange County,Vermont,50017
11,50,27,1.94,0.44,39.28,10.98,868.0,7.05,Windsor County,Vermont,50027
28,48,455,1.29,0.38,58.51,16.68,702.0,20.79,Trinity County,Texas,48455
29,48,19,2.16,0.42,43.41,13.02,834.0,17.66,Bandera County,Texas,48019
34,42,111,0.4,0.43,62.81,12.65,580.0,8.88,Somerset County,Pennsylvania,42111
35,29,123,0.22,0.0,59.96,18.35,590.0,13.94,Madison County,Missouri,29123
36,29,217,0.24,0.5,53.38,18.77,626.0,16.98,Vernon County,Missouri,29217
37,29,147,0.61,0.98,49.76,28.56,624.0,10.46,Nodaway County,Missouri,29147
38,29,41,0.27,0.0,63.68,16.41,504.0,7.75,Chariton County,Missouri,29041
39,29,223,0.39,0.0,61.68,22.49,566.0,16.36,Wayne County,Missouri,29223
40,29,201,0.63,0.09,60.45,19.56,583.0,12.94,Scott County,Missouri,29201
41,29,11,1.15,0.24,52.59,24.22,528.0,12.02,Barton County,Missouri,29011
42,29,39,0.24,0.15,58.77,24.94,591.0,19.14,Cedar County,Missouri,29039
43,29,73,0.34,0.34,58.69,15.88,580.0,9.47,Gasconade County,Missouri,29073
44,29,121,0.47,0.21,56.16,19.08,494.0,12.87,Macon County,Missouri,29121
45,29,149,0.59,0.0,58.08,26.33,473.0,16.74,Oregon County,Missouri,29149
46,29,186,0.14,0.15,55.3,14.3,596.0,6.66,Ste. Genevieve County,Missouri,29186
47,29,67,0.09,0.34,63.22,22.18,560.0,17.89,Douglas County,Missouri,29067
48,29,109,1.17,0.88,54.75,18.76,613.0,15.05,Lawrence County,Missouri,29109
49,29,169,2.8,1.62,41.47,13.19,969.0,13.03,Pulaski County,Missouri,29169
50,29,215,0.29,0.0,61.14,21.68,521.0,16.06,Texas County,Missouri,29215
51,29,27,0.76,0.3,52.65,14.4,650.0,10.61,Callaway County,Missouri,29027
52,29,53,0.7,0.15,53.37,14.68,639.0,10.79,Cooper County,Missouri,29053
53,29,75,0.15,0.51,54.6,17.03,531.0,11.46,Gentry County,Missouri,29075
54,29,133,0.18,0.0,67.62,29.21,595.0,20.01,Mississippi County,Missouri,29133
55,29,153,0.26,0.0,60.72,24.31,523.0,16.64,Ozark County,Missouri,29153
56,29,17,0.49,0.0,66.31,21.66,566.0,13.03,Bollinger County,Missouri,29017
57,29,103,0.8,0.12,58.13,20.86,509.0,21.65,Knox County,Missouri,29103
58,29,139,0.37,0.23,59.85,17.62,620.0,12.61,Montgomery County,Missouri,29139
59,29,207,0.18,0.25,59.54,15.7,540.0,15.22,Stoddard County,Missouri,29207
60,29,7,0.56,0.4,62.94,18.5,613.0,14.07,Audrain County,Missouri,29007
61,29,77,1.56,1.02,37.41,18.98,701.0,14.25,Greene County,Missouri,29077
62,29,185,0.47,0.42,64.29,23.29,446.0,18.01,St. Clair County,Missouri,29185
63,29,197,0.16,0.12,60.01,21.23,498.0,19.02,Schuyler County,Missouri,29197
64,29,29,0.86,0.89,48.29,17.31,665.0,16.78,Camden County,Missouri,29029
65,29,99,0.98,0.32,46.0,10.92,783.0,10.16,Jefferson County,Missouri,29099
66,29,143,0.09,0.03,65.02,22.76,542.0,18.42,New Madrid County,Missouri,29143
67,29,173,0.43,0.05,61.15,12.37,655.0,12.71,Ralls County,Missouri,29173
68,30,17,1.14,0.56,37.9,11.29,612.0,11.08,Custer County,Montana,30017
69,30,75,0.0,0.0,35.58,9.32,553.0,15.87,Powder River County,Montana,30075
70,30,85,0.27,0.1,55.42,27.75,369.0,28.05,Roosevelt County,Montana,30085
71,30,51,1.57,4.51,43.16,17.84,517.0,13.8,Liberty County,Montana,30051
72,30,83,0.48,0.63,46.1,11.36,807.0,18.82,Richland County,Montana,30083
73,30,101,3.93,0.0,52.0,19.22,554.0,21.4,Toole County,Montana,30101
74,30,19,2.12,0.69,37.38,5.8,640.0,7.08,Daniels County,Montana,30019
75,30,45,1.1,0.0,43.45,14.07,513.0,14.52,Judith Basin County,Montana,30045
76,30,23,1.79,0.62,47.86,17.26,506.0,14.13,Deer Lodge County,Montana,30023
77,30,55,0.12,0.0,52.53,8.96,550.0,7.21,McCone County,Montana,30055
78,30,87,0.81,0.52,45.26,20.61,545.0,23.91,Rosebud County,Montana,30087
79,30,21,0.18,0.0,43.6,13.64,554.0,11.54,Dawson County,Montana,30021
80,30,7,2.38,0.0,46.27,9.85,655.0,13.58,Broadwater County,Montana,30007
81,30,71,0.53,0.0,46.03,15.87,490.0,20.28,Phillips County,Montana,30071
82,31,9,0.73,0.0,41.51,19.24,608.0,23.59,Blaine County,Nebraska,31009
83,31,49,1.05,3.16,45.66,12.93,607.0,14.23,Deuel County,Nebraska,31049
84,31,113,0.59,0.0,37.06,10.96,541.0,9.88,Logan County,Nebraska,31113
85,31,169,0.68,0.0,45.28,12.01,472.0,5.65,Thayer County,Nebraska,31169
86,31,1,2.69,1.63,41.31,11.81,623.0,10.07,Adams County,Nebraska,31001
87,29,83,0.36,0.27,53.55,19.34,669.0,13.66,Henry County,Missouri,29083
88,31,11,0.45,0.27,48.93,10.11,557.0,7.43,Boone County,Nebraska,31011
89,31,149,0.21,0.0,49.29,12.08,592.0,15.82,Rock County,Nebraska,31149
90,31,163,0.19,0.0,51.83,13.49,520.0,7.87,Sherman County,Nebraska,31163
91,31,93,0.36,0.31,49.67,10.41,553.0,5.97,Howard County,Nebraska,31093
92,31,73,0.1,0.0,40.12,5.7,667.0,9.03,Gosper County,Nebraska,31073
93,31,153,2.5,1.71,27.14,6.38,868.0,6.59,Sarpy County,Nebraska,31153
94,31,15,0.2,0.21,47.86,10.99,466.0,11.68,Boyd County,Nebraska,31015
95,31,59,1.02,0.08,46.23,9.41,578.0,10.17,Fillmore County,Nebraska,31059
96,31,91,0.29,0.0,40.66,18.87,638.0,8.87,Hooker County,Nebraska,31091
97,31,159,1.06,0.58,36.49,9.44,669.0,6.02,Seward County,Nebraska,31159
98,31,181,1.55,0.58,45.31,12.85,444.0,9.7,Webster County,Nebraska,31181
