,state_fips,county_fips,white,black,native,asian,pacific,other,county_name,state_name,fips
0,5,131,76.62,6.38,1.88,4.06,0.09,10.98,Sebastian County,Arkansas,05131
1,5,133,70.05,4.3,2.33,0.37,0.02,22.92,Sevier County,Arkansas,05133
2,5,135,96.05,0.54,0.98,0.29,0.01,2.13,Sharp County,Arkansas,05135
3,5,137,96.78,0.09,0.68,0.36,0.03,2.06,Stone County,Arkansas,05137
4,5,139,63.1,32.95,0.34,0.5,0.03,3.07,Union County,Arkansas,05139
5,5,141,95.97,0.39,0.69,0.32,0.01,2.61,Van Buren County,Arkansas,05141
6,5,143,79.9,2.96,1.18,2.17,2.03,11.75,Washington County,Arkansas,05143
7,5,145,91.37,3.99,0.58,0.54,0.05,3.47,White County,Arkansas,05145
8,5,149,86.66,1.38,0.67,1.29,0.05,9.94,Yell County,Arkansas,05149
9,6,11,64.68,0.91,1.96,1.31,0.32,30.82,Colusa County,California,06011
10,6,7,81.86,1.55,2.0,4.12,0.21,10.27,Butte County,California,06007
11,6,1,42.98,12.61,0.65,26.13,0.85,16.79,Alameda County,California,06001
12,6,3,74.98,0.0,20.43,0.6,0.0,4.0,Alpine County,California,06003
13,6,5,87.03,2.53,1.78,1.1,0.2,7.37,Amador County,California,06005
14,6,9,88.91,0.84,1.51,1.25,0.17,7.31,Calaveras County,California,06009
15,6,13,58.58,9.26,0.58,14.44,0.46,16.67,Contra Costa County,California,06013
16,6,15,73.74,3.47,7.84,3.37,0.11,11.46,Del Norte County,California,06015
17,6,31,54.27,7.2,1.67,3.67,0.18,33.0,Kings County,California,06031
18,6,21,71.08,0.82,2.2,2.57,0.09,23.24,Glenn County,California,06021
19,6,23,81.65,1.12,5.74,2.19,0.26,9.04,Humboldt County,California,06023
20,6,25,58.76,3.31,1.75,1.63,0.09,34.46,Imperial County,California,06025
21,6,17,86.6,0.78,1.14,3.48,0.16,7.84,El Dorado County,California,06017
22,6,19,55.37,5.32,1.68,9.6,0.15,27.88,Fresno County,California,06019
23,6,27,74.09,0.59,11.44,1.31,0.09,12.49,Inyo County,California,06027
24,6,29,59.52,5.83,1.51,4.15,0.15,28.84,Kern County,California,06029
25,6,43,88.23,0.76,2.89,1.12,0.14,6.87,Mariposa County,California,06043
26,6,33,80.47,1.91,3.17,1.12,0.17,13.17,Lake County,California,06033
27,6,35,73.17,8.12,3.54,1.02,0.47,13.68,Lassen County,California,06035
28,6,37,50.28,8.73,0.74,13.72,0.27,26.27,Los Angeles County,California,06037
29,6,39,62.61,3.73,2.74,1.86,0.11,28.95,Madera County,California,06039
30,6,41,80.01,2.77,0.6,5.45,0.2,10.96,Marin County,California,06041
31,6,59,60.82,1.69,0.6,17.87,0.31,18.72,Orange County,California,06059
32,6,45,76.52,0.71,4.87,1.65,0.14,16.11,Mendocino County,California,06045
33,6,47,58.01,3.88,1.36,7.36,0.23,29.16,Merced County,California,06047
34,6,49,83.46,0.85,3.82,0.81,0.22,10.85,Modoc County,California,06049
35,6,51,82.36,0.33,2.13,1.35,0.08,13.75,Mono County,California,06051
36,6,53,55.59,3.08,1.32,6.09,0.5,33.43,Monterey County,California,06053
37,6,55,71.46,1.95,0.78,6.76,0.27,18.78,Napa County,California,06055
38,6,57,91.36,0.39,1.06,1.2,0.11,5.87,Nevada County,California,06057
39,6,71,56.66,8.94,1.11,6.32,0.34,26.63,San Bernardino County,California,06071
40,6,67,57.45,10.37,1.01,14.32,0.98,15.87,Sacramento County,California,06067
41,6,69,63.65,0.87,1.62,2.61,0.17,31.07,San Benito County,California,06069
42,6,61,83.51,1.36,0.86,5.86,0.22,8.17,Placer County,California,06061
43,6,63,88.95,0.96,2.69,0.67,0.09,6.63,Plumas County,California,06063
44,6,65,60.98,6.42,1.08,5.96,0.31,25.25,Riverside County,California,06065
45,1,1,78.53,17.67,0.43,0.87,0.06,2.45,Autauga County,Alabama,01001
46,1,7,75.85,22.02,0.28,0.1,0.06,1.69,Bibb County,Alabama,01007
47,1,17,58.78,38.75,0.2,0.49,0.03,1.75,Chambers County,Alabama,01017
48,1,19,92.66,4.65,0.52,0.21,0.0,1.96,Cherokee County,Alabama,01019
49,1,25,54.47,43.88,0.4,0.3,0.02,0.94,Clarke County,Alabama,01025
50,1,13,54.42,43.42,0.29,0.84,0.03,1.0,Butler County,Alabama,01013
51,1,9,92.58,1.33,0.54,0.2,0.07,5.29,Blount County,Alabama,01009
52,1,11,22.97,70.24,0.21,0.18,0.39,6.0,Bullock County,Alabama,01011
53,1,21,84.12,9.69,0.36,0.3,0.13,5.41,Chilton County,Alabama,01021
54,1,23,55.78,43.38,0.13,0.09,0.0,0.62,Choctaw County,Alabama,01023
55,1,37,66.28,31.04,0.35,0.14,0.13,2.06,Coosa County,Alabama,01037
56,1,27,81.68,14.83,0.39,0.17,0.0,2.92,Clay County,Alabama,01027
57,1,29,94.04,3.33,0.34,0.15,0.07,2.08,Cleburne County,Alabama,01029
58,1,31,74.74,16.74,1.29,1.29,0.2,5.75,Coffee County,Alabama,01031
59,1,35,51.32,46.48,0.33,0.13,0.01,1.73,Conecuh County,Alabama,01035
60,1,33,80.45,16.11,0.49,0.42,0.04,2.49,Colbert County,Alabama,01033
61,1,53,62.07,31.89,3.36,0.24,0.03,2.41,Escambia County,Alabama,01053
62,1,39,84.79,12.49,0.57,0.41,0.0,1.74,Covington County,Alabama,01039
63,1,41,72.61,23.4,0.41,1.36,0.06,2.16,Crenshaw County,Alabama,01041
64,1,43,94.69,1.06,0.51,0.43,0.02,3.29,Cullman County,Alabama,01043
65,1,45,74.1,19.26,0.74,1.06,0.09,4.75,Dale County,Alabama,01045
66,1,47,29.14,69.43,0.19,0.34,0.03,0.87,Dallas County,Alabama,01047
67,1,49,84.5,1.52,1.36,0.29,0.21,12.13,DeKalb County,Alabama,01049
68,1,51,76.23,20.05,0.36,0.65,0.08,2.63,Elmore County,Alabama,01051
69,1,65,39.76,59.02,0.16,0.22,0.01,0.84,Hale County,Alabama,01065
70,1,55,80.27,15.13,0.43,0.64,0.16,3.37,Etowah County,Alabama,01055
71,1,57,86.48,11.42,0.3,0.21,0.0,1.58,Fayette County,Alabama,01057
72,1,59,83.02,3.87,0.68,0.2,0.03,12.2,Franklin County,Alabama,01059
73,1,61,86.33,9.48,0.84,0.25,0.03,3.08,Geneva County,Alabama,01061
74,1,63,17.41,81.48,0.19,0.17,0.0,0.75,Greene County,Alabama,01063
75,1,81,71.31,22.75,0.32,2.61,0.07,2.95,Lee County,Alabama,01081
76,1,67,68.58,28.56,0.33,0.31,0.01,2.21,Henry County,Alabama,01067
77,1,69,69.97,25.78,0.44,0.81,0.05,2.96,Houston County,Alabama,01069
78,1,71,90.83,3.35,1.35,0.35,0.09,4.03,Jackson County,Alabama,01071
79,1,73,53.03,42.0,0.26,1.39,0.04,3.29,Jefferson County,Alabama,01073
80,1,75,86.69,11.28,0.16,0.03,0.01,1.82,Lamar County,Alabama,01075
81,1,77,86.41,9.99,0.36,0.74,0.04,2.46,Lauderdale County,Alabama,01077
82,1,79,77.6,11.47,5.69,0.12,0.02,5.1,Lawrence County,Alabama,01079
83,1,99,55.13,41.68,1.13,0.29,0.04,1.73,Monroe County,Alabama,01099
84,1,83,80.34,12.6,0.66,1.12,0.05,5.24,Limestone County,Alabama,01083
85,1,85,25.3,73.55,0.22,0.12,0.0,0.81,Lowndes County,Alabama,01085
86,1,87,15.47,82.64,0.14,0.35,0.01,1.38,Macon County,Alabama,01087
87,1,89,68.18,24.01,0.76,2.47,0.11,4.47,Madison County,Alabama,01089
88,1,91,46.37,51.7,0.16,0.25,0.06,1.45,Marengo County,Alabama,01091
89,1,93,93.55,3.85,0.33,0.18,0.05,2.05,Marion County,Alabama,01093
90,1,97,60.21,34.62,0.89,1.83,0.05,2.4,Mobile County,Alabama,01097
91,1,95,87.58,1.61,0.76,0.51,0.11,9.43,Marshall County,Alabama,01095
92,1,115,88.21,8.55,0.34,0.62,0.06,2.22,St. Clair County,Alabama,01115
93,1,101,39.53,54.71,0.26,2.1,0.07,3.33,Montgomery County,Alabama,01101
94,1,103,79.84,11.87,0.87,0.58,0.09,6.75,Morgan County,Alabama,01103
95,1,105,30.25,68.7,0.16,0.28,0.05,0.56,Perry County,Alabama,01105
96,1,107,56.26,41.58,0.14,0.18,0.01,1.82,Pickens County,Alabama,01107
97,1,109,58.19,36.64,0.58,1.99,0.07,2.53,Pike County,Alabama,01109
98,1,111,76.52,20.11,0.37,0.24,0.02,2.75,Randolph County,Alabama,01111
99,1,113,53.73,41.81,0.41,0.45,0.21,3.39,Russell County,Alabama,01113
100,1,127,91.23,5.86,0.37,0.29,0.05,2.19,Walker County,Alabama,01127
101,1,117,83.01,10.63,0.28,1.91,0.04,4.13,Shelby County,Alabama,01117
102,1,119,24.17,74.95,0.08,0.24,0.03,0.53,Sumter County,Alabama,01119
103,1,121,65.3,31.66,0.32,0.41,0.01,2.29,Talladega County,Alabama,01121
104,1,123,69.89,26.63,0.29,0.47,0.02,2.69,Tallapoosa County,Alabama,01123
105,1,125,66.27,29.6,0.27,1.18,0.06,2.62,Tuscaloosa County,Alabama,01125
106,2,90,77.04,4.53,7.05,2.66,0.41,8.32,Fairbanks North Star Borough,Alaska,02090
107,1,129,65.46,24.91,8.03,0.11,0.07,1.42,Washington County,Alabama,01129
108,1,131,26.79,72.54,0.12,0.03,0.01,0.51,Wilcox County,Alabama,01131
109,1,133,95.61,0.47,0.67,0.25,0.11,2.9,Winston County,Alabama,01133
110,2,13,21.01,6.97,27.89,35.98,0.6,7.55,Aleutians East Borough,Alaska,02013
111,2,16,36.04,5.97,15.41,28.88,1.85,11.85,Aleutians West Census Area,Alaska,02016
112,2,68,89.65,0.55,3.56,1.04,0.05,5.15,Denali Borough,Alaska,02068
113,2,70,18.11,0.23,71.59,0.66,0.12,9.28,Dillingham Census Area,Alaska,02070
114,2,60,48.24,0.0,33.5,0.8,0.3,17.15,Bristol Bay Borough,Alaska,02060
115,8,23,68.02,0.68,2.95,0.96,0.26,27.13,Costilla County,Colorado,08023
116,8,25,77.43,9.6,2.39,1.01,0.0,9.57,Crowley County,Colorado,08025
117,8,27,95.3,1.03,0.71,0.38,0.0,2.59,Custer County,Colorado,08027
118,8,29,89.69,0.52,0.95,0.52,0.05,8.27,Delta County,Colorado,08029
119,8,31,68.93,10.24,1.37,3.4,0.1,15.95,Denver County,Colorado,08031
120,8,35,90.24,1.22,0.41,3.75,0.07,4.31,Douglas County,Colorado,08035
121,8,33,93.02,0.19,2.91,0.1,0.1,3.68,Dolores County,Colorado,08033
122,8,49,93.49,0.38,0.49,0.84,0.05,4.74,Grand County,Colorado,08049
123,8,39,94.69,0.71,0.66,0.75,0.11,3.08,Elbert County,Colorado,08039
124,8,41,79.75,6.19,0.96,2.74,0.35,10.02,El Paso County,Colorado,08041
125,8,43,90.18,3.94,1.73,0.6,0.05,3.51,Fremont County,Colorado,08043
126,8,45,82.23,0.68,1.13,0.66,0.08,15.22,Garfield County,Colorado,08045
127,8,47,94.78,0.51,0.75,1.42,0.18,2.35,Gilpin County,Colorado,08047
128,8,69,90.53,0.83,0.74,1.94,0.07,5.88,Larimer County,Colorado,08069
129,8,51,92.35,0.31,1.36,0.65,0.03,5.3,Gunnison County,Colorado,08051
130,8,53,95.14,0.36,1.07,0.36,0.0,3.08,Hinsdale County,Colorado,08053
131,8,55,82.85,0.52,3.19,0.37,0.19,12.87,Huerfano County,Colorado,08055
132,8,57,92.54,0.0,1.22,0.07,0.0,6.17,Jackson County,Colorado,08057
133,8,59,88.43,1.06,0.88,2.63,0.09,6.92,Jefferson County,Colorado,08059
134,8,61,96.28,0.29,0.5,0.0,0.0,2.93,Kiowa County,Colorado,08061
135,8,63,88.46,2.72,0.71,0.44,0.08,7.58,Kit Carson County,Colorado,08063
136,8,65,80.68,0.37,1.33,0.45,0.05,17.11,Lake County,Colorado,08065
137,8,71,83.62,1.41,2.42,0.71,0.05,11.8,Las Animas County,Colorado,08071
138,8,67,86.78,0.4,5.82,0.56,0.06,6.39,La Plata County,Colorado,08067
139,8,87,79.41,2.87,0.84,0.5,0.11,16.28,Morgan County,Colorado,08087
140,8,73,89.04,5.3,0.93,0.79,0.04,3.9,Lincoln County,Colorado,08073
141,8,75,89.01,3.96,1.16,0.56,0.07,5.24,Logan County,Colorado,08075
142,8,77,89.41,0.64,1.06,0.76,0.11,8.02,Mesa County,Colorado,08077
143,8,79,97.33,0.28,0.56,0.14,0.0,1.69,Mineral County,Colorado,08079
144,8,81,90.05,0.3,0.88,0.56,0.05,8.16,Moffat County,Colorado,08081
145,8,83,81.08,0.23,12.25,0.47,0.05,5.92,Montezuma County,Colorado,08083
146,8,85,86.74,0.39,1.08,0.62,0.06,11.11,Montrose County,Colorado,08085
147,8,99,80.99,0.51,0.89,0.3,0.02,17.29,Prowers County,Colorado,08099
148,8,89,78.53,0.76,1.79,0.76,0.06,18.1,Otero County,Colorado,08089
149,8,91,96.42,0.16,0.38,0.56,0.11,2.37,Ouray County,Colorado,08091
150,8,93,94.73,0.43,0.94,0.64,0.01,3.26,Park County,Colorado,08093
151,8,95,89.17,0.41,0.45,0.59,0.11,9.28,Phillips County,Colorado,08095
152,8,97,93.47,0.54,0.26,1.21,0.07,4.45,Pitkin County,Colorado,08097
153,8,111,92.56,0.0,0.29,1.14,0.0,6.01,San Juan County,Colorado,08111
154,8,107,94.77,0.42,0.46,0.64,0.07,3.64,Routt County,Colorado,08107
155,8,109,82.25,0.23,1.87,0.77,0.02,14.87,Saguache County,Colorado,08109
156,8,101,79.36,2.03,1.92,0.79,0.1,15.8,Pueblo County,Colorado,08101
157,8,103,91.85,0.75,0.89,0.33,0.17,6.02,Rio Blanco County,Colorado,08103
158,8,105,78.28,0.36,1.84,0.35,0.02,19.16,Rio Grande County,Colorado,08105
159,9,1,74.81,10.83,0.26,4.61,0.05,9.43,Fairfield County,Connecticut,09001
160,8,113,92.91,0.39,0.77,0.72,0.05,5.15,San Miguel County,Colorado,08113
161,8,115,92.22,0.34,0.42,0.71,0.0,6.31,Sedgwick County,Colorado,08115
162,8,117,89.67,0.82,0.31,0.99,0.07,8.13,Summit County,Colorado,08117
163,8,119,94.25,0.47,0.91,0.71,0.09,3.57,Teller County,Colorado,08119
164,8,121,95.31,0.62,0.15,0.23,0.06,3.64,Washington County,Colorado,08121
165,8,123,82.9,0.98,1.11,1.2,0.09,13.73,Weld County,Colorado,08123
166,8,125,88.23,0.18,0.5,0.23,0.03,10.83,Yuma County,Colorado,08125
167,9,5,93.86,1.35,0.21,1.53,0.02,3.02,Litchfield County,Connecticut,09005
168,9,3,72.4,13.33,0.27,4.25,0.03,9.73,Hartford County,Connecticut,09003
169,9,7,89.22,4.66,0.15,2.56,0.04,3.36,Middlesex County,Connecticut,09007
170,9,15,89.59,2.21,0.47,1.17,0.04,6.52,Windham County,Connecticut,09015
171,10,1,67.77,23.97,0.64,2.04,0.06,5.52,Kent County,Delaware,10001
172,9,9,74.75,12.74,0.29,3.51,0.04,8.67,New Haven County,Connecticut,09009
173,9,11,82.18,5.85,0.91,4.15,0.07,6.84,New London County,Connecticut,09011
174,9,13,89.81,3.28,0.17,3.36,0.02,3.35,Tolland County,Connecticut,09013
175,10,5,78.96,12.74,0.79,0.99,0.08,6.45,Sussex County,Delaware,10005
176,11,1,38.47,50.71,0.35,3.5,0.05,6.93,District of Columbia,District of Columbia,11001
177,10,3,65.55,23.73,0.29,4.33,0.03,6.07,New Castle County,Delaware,10003
178,12,9,82.99,10.08,0.39,2.09,0.09,4.36,Brevard County,Florida,12009
179,12,15,90.05,5.68,0.26,1.2,0.04,2.78,Charlotte County,Florida,12015
180,12,1,69.6,20.33,0.31,5.35,0.05,4.35,Alachua County,Florida,12001
181,12,5,82.16,10.77,0.68,1.99,0.1,4.31,Bay County,Florida,12005
182,12,7,76.44,20.42,0.32,0.53,0.05,2.25,Bradford County,Florida,12007
183,12,11,63.05,26.74,0.29,3.25,0.05,6.61,Broward County,Florida,12011
184,12,27,66.24,12.71,0.39,0.51,0.03,20.11,DeSoto County,Florida,12027
185,12,3,83.67,13.57,0.28,0.49,0.02,1.98,Baker County,Florida,12003
186,12,13,80.81,13.75,1.13,0.51,0.08,3.72,Calhoun County,Florida,12013
187,12,17,93.0,2.82,0.34,1.41,0.03,2.4,Citrus County,Florida,12017
188,12,19,81.78,9.87,0.46,2.93,0.11,4.86,Clay County,Florida,12019
189,12,21,83.85,6.56,0.35,1.09,0.04,8.11,Collier County,Florida,12021
190,12,29,88.81,8.44,0.42,0.29,0.01,2.03,Dixie County,Florida,12029
191,12,23,77.91,17.5,0.51,0.92,0.06,3.1,Columbia County,Florida,12023
192,12,41,90.89,5.3,0.5,0.35,0.07,2.89,Gilchrist County,Florida,12041
193,12,31,60.87,29.51,0.39,4.15,0.09,4.99,Duval County,Florida,12031
194,12,33,68.88,22.94,0.88,2.75,0.14,4.41,Escambia County,Florida,12033
195,12,35,82.25,11.37,0.28,2.14,0.06,3.9,Flagler County,Florida,12035
196,12,37,82.6,13.76,0.5,0.23,0.06,2.85,Franklin County,Florida,12037
197,12,39,35.88,56.04,0.3,0.49,0.04,7.25,Gadsden County,Florida,12039
198,12,57,71.28,16.68,0.39,3.42,0.08,8.15,Hillsborough County,Florida,12057
199,12,43,71.04,12.33,4.57,0.4,0.02,11.65,Glades County,Florida,12043
200,12,45,78.07,18.67,0.4,0.29,0.03,2.55,Gulf County,Florida,12045
201,12,47,59.81,34.48,0.63,0.51,0.0,4.57,Hamilton County,Florida,12047
202,12,49,72.17,6.98,0.62,1.07,0.04,19.11,Hardee County,Florida,12049
203,12,51,59.88,13.44,1.72,0.71,0.06,24.19,Hendry County,Florida,12051
204,12,53,89.48,5.1,0.35,1.08,0.04,3.95,Hernando County,Florida,12053
205,12,55,80.95,9.38,0.48,1.46,0.05,7.69,Highlands County,Florida,12055
206,12,69,82.01,9.8,0.5,1.74,0.07,5.88,Lake County,Florida,12069
207,12,65,60.38,36.18,0.25,0.39,0.03,2.78,Jefferson County,Florida,12065
208,12,67,77.43,15.91,0.43,0.15,0.02,6.07,Lafayette County,Florida,12067
209,12,59,90.55,5.76,0.8,0.44,0.14,2.32,Holmes County,Florida,12059
210,12,61,84.29,8.98,0.3,1.21,0.04,5.19,Indian River County,Florida,12061
211,12,63,69.1,26.6,0.67,0.48,0.1,3.05,Jackson County,Florida,12063
212,12,85,87.27,5.36,0.57,1.05,0.07,5.67,Martin County,Florida,12085
213,12,71,82.99,8.25,0.35,1.37,0.06,6.97,Lee County,Florida,12071
214,12,73,62.97,30.32,0.28,2.92,0.05,3.46,Leon County,Florida,12073
215,12,75,85.48,9.39,0.42,0.56,0.06,4.09,Levy County,Florida,12075
216,12,77,77.25,17.9,1.06,0.2,0.0,3.59,Liberty County,Florida,12077
217,12,79,57.58,38.81,0.48,0.24,0.0,2.88,Madison County,Florida,12079
218,12,81,81.88,8.74,0.32,1.63,0.07,7.35,Manatee County,Florida,12081
219,12,83,80.98,12.32,0.4,1.33,0.04,4.93,Marion County,Florida,12083
