,state,fips,year,dvotes,rvotes,county,dvotes_pct,rvotes_pct
0,AL,1001,2016,5908,18110,Autauga,24.6,75.4
1,AL,1003,2016,18409,72780,Baldwi,20.19,79.81
2,AL,1005,2016,4848,5431,Barbour,47.16,52.84
3,AL,1007,2016,1874,6733,Bibb,21.77,78.23
4,AL,1009,2016,2150,22808,Bl,8.61,91.39
5,AL,1011,2016,3530,1139,Bullock,75.61,24.39
6,AL,1013,2016,3716,4891,Butler,43.17,56.83
7,AL,1015,2016,13197,32803,alh,28.69,71.31
8,AL,1017,2016,5763,7803,hambers,42.48,57.52
9,AL,1019,2016,1524,8809,herokee,14.75,85.25
10,AL,1021,2016,2909,15068,hil,16.18,83.82
11,AL,1023,2016,3109,4102,hoctaw,43.11,56.89
12,AL,1025,2016,5712,7109,larke,44.55,55.45
13,AL,1027,2016,1234,5230,la,19.09,80.91
14,AL,1029,2016,684,5738,leburne,10.65,89.35
15,AL,1031,2016,4194,15825,ffee,20.95,79.05
16,AL,1033,2016,7296,16718,lber,30.38,69.62
17,AL,1035,2016,3069,3413,ecuh,47.35,52.65
18,AL,1037,2016,1780,3376,sa,34.52,65.48
19,AL,1039,2016,2379,13222,ving,15.25,84.75
20,AL,1041,2016,1663,4511,renshaw,26.94,73.06
21,AL,1043,2016,3730,32734,llma,10.23,89.77
22,AL,1045,2016,4408,13798,Dale,24.21,75.79
23,AL,1047,2016,12826,5784,Dallas,68.92,31.08
24,AL,1049,2016,3682,21779,DeKalb,14.46,85.54
25,AL,1051,2016,8436,27619,Elmore,23.4,76.6
26,AL,1053,2016,4698,10282,Escambia,31.36,68.64
27,AL,1055,2016,10350,32132,Etowah,24.36,75.64
28,AL,1057,2016,1358,6705,Fayette,16.84,83.16
29,AL,1059,2016,2197,9466,Frankli,18.84,81.16
30,AL,1061,2016,1522,9967,Geneva,13.25,86.75
31,AL,1063,2016,4006,838,Greene,82.7,17.3
32,AL,1065,2016,4772,3172,Hale,60.07,39.93
33,AL,1067,2016,2286,5623,Henr,28.9,71.1
34,AL,1069,2016,10547,30567,Hous,25.65,74.35
35,AL,1071,2016,3663,16643,Jacks,18.04,81.96
36,AL,1073,2016,151581,130614,Jeffers,53.71,46.29
37,AL,1075,2016,1035,5819,Lamar,15.1,84.9
38,AL,1077,2016,9877,27735,Lauderdale,26.26,73.74
39,AL,1079,2016,3611,10732,Lawrence,25.18,74.82
40,AL,1081,2016,20987,34321,Lee,37.95,62.05
41,AL,1083,2016,9340,28824,Limestone,24.47,75.53
42,AL,1085,2016,4882,1751,Lowndes,73.6,26.4
43,AL,1087,2016,7237,1394,Mac,83.85,16.15
44,AL,1089,2016,62435,89199,Madis,41.17,58.83
45,AL,1091,2016,5607,5224,Mareng,51.77,48.23
46,AL,1093,2016,1432,11273,Mari,11.27,88.73
47,AL,1095,2016,4913,29217,Marshall,14.39,85.61
48,AL,1097,2016,68429,91087,Mobile,42.9,57.1
49,AL,1099,2016,4310,5771,Monroe,42.75,57.25
50,AL,1101,2016,58669,33928,Montgomer,63.36,36.64
51,AL,1103,2016,11216,37392,Morga,23.07,76.93
52,AL,1105,2016,3823,1403,Perr,73.15,26.85
53,AL,1107,2016,3972,5454,Pickens,42.14,57.86
54,AL,1109,2016,5039,7681,Pike,39.61,60.39
55,AL,1111,2016,2290,7697,Randolph,22.93,77.07
56,AL,1113,2016,9577,9210,Russell,50.98,49.02
57,AL,1115,2016,5550,31579,St. Clair,14.95,85.05
58,AL,1117,2016,22927,72846,Shelb,23.94,76.06
59,AL,1119,2016,4739,1581,Sumter,74.98,25.02
60,AL,1121,2016,12108,20596,Talladega,37.02,62.98
61,AL,1123,2016,5271,12967,Tallapoosa,28.9,71.1
62,AL,1125,2016,31746,47701,Tuscaloosa,39.96,60.04
63,AL,1127,2016,4486,24208,Walker,15.63,84.37
64,AL,1129,2016,2366,6031,Washing,28.18,71.82
65,AL,1131,2016,4329,1737,Wilcox,71.36,28.64
66,AL,1133,2016,871,9225,Wins,8.63,91.37
